web-scraper-order,web-scraper-start-url,product-name,product-description-optional,product-code,discount-amount,list-price-before-discount,availability,product-image-src,offer-validity,offer-start-date,offer-end-date
1718592851-1,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Optimum Nutrition Gold Standard rBST-Free 100% Whey Protein,Chocolate AND/OR Vanilla 80 Servings,1243864,15,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-optimum.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-2,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,NutriBullet Balance Nutrient Extraction Blender,,4900096,30,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-nutribullet.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-3,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Brita Lake 10-Cup Water Pitcher + 2 Filters AND/OR Advanced Pitcher Filters 10 ct,,987554,9,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-britta.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-4,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Kirkland Signature Razor,14 ct,2121990,5,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=2121990-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-5,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Intuit TurboTax,,1375995,45580,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-turbotax.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-6,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,32 Degrees Ladies' Tech Fleece Jogger,,1330264,3,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=100487382-847_black_1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-7,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Dyson V8 Animal+ Cord-Free Rechargeable Stick Vacuum,,2200022,80,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=100410589-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-8,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Kirkland Signature Soft & Chewy Granola Bars,64 ct,1212860,2,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1212860-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-9,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Sealy West Salem Cushion Firm Queen Mattress Only,,1160449,120,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-sealy.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-10,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,"Novaform 14"" ComfortGrande Gel MemoryFoam Mattress Featuring EVENcor GelPlus",,1129877,100-120,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-novaform.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-11,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Novaform Luracor Foam Toppers,,7718228,30-45,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=100504415-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-12,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Eddie Bauer Ladies' Open Wrap Cardigan,,1352959,3,,,https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=100498588-847_gray_1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-13,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,"HP Pavilion 15.6"" 1080p Touchscreen Laptop",,1373575,120,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1373575-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-14,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,"HP 14"" 1080p Laptop",,1371252,100,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1371252-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-15,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,HP OfficeJet Pro 9018 All-In-One Printer,,1323639,50,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1323639-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-16,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Buy Any Two HP Ink Cartridge Packs Get $23 OFF Your Total Purchase,Pack = 1 sell unit,,23,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-ink.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-17,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Dell Inspiron Desktop Computer,,1327713,200,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1327713-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-18,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,"Samsung 65"" Class - 7 Series - 4K UHD LED LCD TV",,9650074,,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=9650074-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-19,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,"LG 75"" Class - 8 Series - 4K UHD LED LCD TV",,9758070,,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=9758070-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-20,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Sanus Simplicity Full-Motion or Low-Profile TV Wall Mounts,,1902261,45595,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-sanus.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-21,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Buffalo Ladies' Distressed Jean,,1327948,4,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=100489789-847_darkblue_1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-22,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Felina Ladies' Legging,2 pk,1328101,4,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-felina.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-23,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Haggar Men's Travel Pant,,1342870,4,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=100492654-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-24,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Neutrogena Rainbath Shower Gel Original,40 fl oz,414510,5,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=414510-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-25,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Pantene Advanced Care Shampoo AND/OR Conditioner,38.2 fl oz,1099364,2,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-pantene.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-26,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Oral-B Glide Advanced Floss,6 ct,1269199,4,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1269199-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-27,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Oral-B FlossAction AND/OR Advanced Clean Brush Heads with Bacteria Guard,9 pk,1610583,10,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-oralb.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-28,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Oral-B Advanced Clean Rechargeable Toothbrushes,2 pk,1907391,35,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=100455532-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-29,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Degree Men’s UltraClear Black & White Antiperspirant AND/OR Dove Women’s Advanced Care 100 Colors Clear Finish Antiperspirant,,1297372,4,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-dove.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-30,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Listerine Ultraclean Mouthwash,2/1.5 L,685586,3,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=685586-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
